//Quantitative values
44	//Makespan
44	//Mission completion time hauler 1
40	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[4,10],[4,9]
1,[4,9],[4,8]
2,[4,8],[4,7]
3,[4,7],[5,7]
4,[4,6],[6,7]
5,[4,5],[7,7]
6,[4,4],[8,7]
7,[4,3],[9,7]
8,[5,3],[10,7]
9,[4,3],[9,7]
10,[4,4],[8,7]
11,[4,5],[7,7]
12,[4,6],[6,7]
13,[4,7],[5,7]
14,[4,8],[4,7]
15,[3,8],[4,8]
16,[2,8],[4,7]
17,[1,8],[4,6]
18,[1,7],[4,5]
19,[1,6],[4,4]
20,[1,5],[4,3]
21,[1,4],[5,3]
22,[1,3],[4,3]
23,[1,2],[4,4]
24,[1,3],[4,5]
25,[1,4],[4,6]
26,[1,5],[4,7]
27,[1,6],[4,8]
28,[1,7],[4,7]
29,[1,8],[5,7]
30,[2,8],[6,7]
31,[3,8],[7,7]
32,[4,8],[8,7]
33,[4,7],[9,7]
34,[4,6],[10,7]
35,[4,5],[9,7]
36,[4,4],[8,7]
37,[4,3],[8,6]
38,[5,3],[8,5]
39,[4,3],[8,4]
40,[4,4],[8,3]
41,[4,5],[8,3]
42,[4,6],[8,3]
43,[4,7],[8,3]
44,[4,8],[8,3]
