//Quantitative values
100	//Makespan
93	//Mission completion time hauler 1
101	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[2 ,10],[6,12]
1,[2 ,9],[6,11]
2,[2 ,8],[5,11]
3,[2 ,7],[4,11]
4,[2 ,6],[3,11]
5,[2 ,5],[3,10]
6,[2 ,4],[3,9]
7,[2 ,3],[3,8]
8,[2 ,2],[3,7]
9,[2 ,1],[3,6]
10,[3 ,1],[3,5]
11,[3 ,2],[3,4]
12,[3 ,3],[3,3]
13,[3 ,4],[3,2]
14,[3 ,5],[3,1]
15,[3 ,6],[3,2]
16,[3 ,7],[3,3]
17,[3 ,8],[3,4]
18,[3 ,9],[3,5]
19,[4 ,9],[3,6]
20,[5 ,9],[3,7]
21,[6 ,9],[3,8]
22,[7 ,9],[3,9]
23,[7 ,10],[4,9]
24,[7 ,9],[5,9]
25,[6 ,9],[6,9]
26,[5 ,9],[7,9]
27,[4 ,9],[7,10]
28,[3 ,9],[7,9]
29,[3 ,8],[6,9]
30,[3 ,7],[5,9]
31,[3 ,6],[4,9]
32,[3 ,5],[3,9]
33,[3 ,4],[3,8]
34,[3 ,3],[3,7]
35,[3 ,2],[3,6]
36,[3 ,1],[3,5]
37,[3 ,2],[3,4]
38,[3 ,3],[3,3]
39,[3 ,4],[3,2]
40,[3 ,5],[3,1]
41,[3 ,6],[3,2]
42,[3 ,7],[3,3]
43,[3 ,8],[3,4]
44,[4 ,8],[3,5]
45,[5 ,8],[3,6]
46,[6 ,8],[3,7]
47,[7 ,8],[3,8]
48,[6 ,8],[3,9]
49,[5 ,8],[4,9]
50,[4 ,8],[5,9]
51,[3 ,8],[6,9]
52,[3 ,7],[7,9]
53,[3 ,6],[7,10]
54,[3 ,5],[8,10]
55,[3 ,4],[9,10]
56,[3 ,3],[10,10]
57,[3 ,2],[10,11]
58,[3 ,1],[11,11]
59,[3 ,2],[10,11]
60,[3 ,3],[10,10]
61,[3 ,4],[9,10]
62,[3 ,5],[8,10]
63,[3 ,6],[7,10]
64,[3 ,7],[7,9]
65,[3 ,8],[6,9]
66,[4 ,8],[5,9]
67,[5 ,8],[5,8]
68,[6 ,8],[5,9]
69,[7 ,8],[6,9]
70,[7 ,7],[7,9]
71,[7 ,6],[7,10]
72,[7 ,5],[8,10]
73,[8 ,5],[9,10]
74,[9 ,5],[10,10]
75,[10 ,5],[10,11]
76,[9 ,5],[11,11]
77,[8 ,5],[11,10]
78,[7 ,5],[11,9]
79,[7 ,6],[11,8]
80,[7 ,7],[10,8]
81,[7 ,8],[10,7]
82,[6 ,8],[10,6]
83,[5 ,8],[10,5]
84,[5 ,9],[9,5]
85,[6 ,9],[8,5]
86,[7 ,9],[7,5]
87,[7 ,10],[7,6]
88,[8 ,10],[7,7]
89,[9 ,10],[7,8]
90,[10 ,10],[7,9]
91,[10 ,11],[7,10]
92,[11 ,11],[7,9]
93,[11 ,11],[6,9]
94,[11 ,11],[5,9]
95,[11 ,11],[5,8]
96,[11 ,11],[6,8]
97,[11 ,11],[7,8]
98,[11 ,11],[8,8]
99,[11 ,11],[9,8]
100,[11 ,11],[9,8]
