//Quantitative values
46	//Makespan
47	//Mission completion time hauler 1
44	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[4 ,10],[4,9]
1,[4 ,9],[4,8]
2,[4 ,8],[4,7]
3,[4 ,7],[5,7]
4,[4 ,6],[6,7]
5,[4 ,5],[7,7]
6,[4 ,4],[8,7]
7,[4 ,3],[9,7]
8,[5 ,3],[10,7]
9,[4 ,3],[9,7]
10,[4 ,4],[8,7]
11,[4 ,5],[8,6]
12,[4 ,6],[8,5]
13,[4 ,7],[8,4]
14,[4 ,8],[8,3]
15,[4 ,7],[7,3]
16,[4 ,6],[6,3]
17,[4 ,5],[5,3]
18,[4 ,4],[4,3]
19,[4 ,3],[4,4]
20,[5 ,3],[4,5]
21,[4 ,3],[4,6]
22,[4 ,4],[4,7]
23,[4 ,5],[4,8]
24,[4 ,6],[3,8]
25,[4 ,7],[2,8]
26,[4 ,8],[1,8]
27,[3 ,8],[1,7]
28,[2 ,8],[1,6]
29,[1 ,8],[1,5]
30,[1 ,7],[1,4]
31,[1 ,6],[1,3]
32,[1 ,5],[1,2]
33,[1 ,4],[2,2]
34,[1 ,3],[3,2]
35,[1 ,2],[3,3]
36,[2 ,2],[4,3]
37,[3 ,2],[5,3]
38,[3 ,3],[6,3]
39,[4 ,3],[7,3]
40,[5 ,3],[8,3]
41,[6 ,3],[7,3]
42,[7 ,3],[6,3]
43,[8 ,3],[5,3]
44,[7 ,3],[5,3]
45,[6 ,3],[5,3]
46,[5 ,3],[5,3]
