//Quantitative values
51	//Makespan
52	//Mission completion time hauler 1
18	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[4 ,6],[5,9]
1,[4 ,5],[4,9]
2,[4 ,4],[3,9]
3,[5 ,4],[3,10]
4,[4 ,4],[3,9]
5,[3 ,4],[4,9]
6,[2 ,4],[3,9]
7,[1 ,4],[3,10]
8,[1 ,5],[3,9]
9,[1 ,6],[4,9]
10,[1 ,7],[3,9]
11,[1 ,8],[3,10]
12,[2 ,8],[3,9]
13,[2 ,9],[4,9]
14,[2 ,10],[3,9]
15,[3 ,10],[3,10]
16,[4 ,10],[3,9]
17,[5 ,10],[4,9]
18,[6 ,10],[4,9]
19,[7 ,10],[4,9]
20,[8 ,10],[4,9]
21,[9 ,10],[4,9]
22,[10 ,10],[4,9]
23,[11 ,10],[4,9]
24,[12 ,10],[4,9]
25,[11 ,10],[4,9]
26,[10 ,10],[4,9]
27,[9 ,10],[4,9]
28,[8 ,10],[4,9]
29,[7 ,10],[4,9]
30,[6 ,10],[4,9]
31,[5 ,10],[4,9]
32,[5 ,9],[4,9]
33,[5 ,8],[4,9]
34,[5 ,7],[4,9]
35,[5 ,6],[4,9]
36,[5 ,5],[4,9]
37,[5 ,4],[4,9]
38,[4 ,4],[4,9]
39,[3 ,4],[4,9]
40,[2 ,4],[4,9]
41,[1 ,4],[4,9]
42,[1 ,5],[4,9]
43,[1 ,6],[4,9]
44,[1 ,7],[4,9]
45,[1 ,8],[4,9]
46,[2 ,8],[4,9]
47,[2 ,9],[4,9]
48,[2 ,10],[4,9]
49,[3 ,10],[4,9]
50,[3 ,9],[4,9]
51,[4 ,9],[4,9]
