//Quantitative values
44	//Makespan
44	//Mission completion time hauler 1
42	//Mission completion time hauler 2
29	//Mission completion time hauler 3
2	//Application execution time (in millisecond)
//Path to the final points
0,[6 ,7],[4 ,12],[9,6]
1,[7 ,7],[4 ,11],[9,5]
2,[7 ,6],[4 ,10],[8,5]
3,[7 ,5],[4 ,9],[7,5]
4,[7 ,4],[4 ,8],[7,6]
5,[8 ,4],[5 ,8],[7,7]
6,[7 ,4],[5 ,7],[6,7]
7,[7 ,5],[5 ,6],[6,8]
8,[7 ,6],[5 ,5],[6,9]
9,[7 ,7],[5 ,4],[6,10]
10,[6 ,7],[6 ,4],[7,10]
11,[6 ,8],[7 ,4],[8,10]
12,[6 ,9],[8 ,4],[7,10]
13,[6 ,8],[7 ,4],[6,10]
14,[6 ,7],[7 ,5],[6,9]
15,[7 ,7],[7 ,6],[6,10]
16,[7 ,6],[7 ,7],[7,10]
17,[7 ,5],[6 ,7],[8,10]
18,[7 ,4],[6 ,8],[7,10]
19,[7 ,3],[6 ,9],[6,10]
20,[7 ,2],[6 ,8],[5,10]
21,[7 ,3],[6 ,7],[5,9]
22,[6 ,3],[7 ,7],[5,8]
23,[5 ,3],[7 ,6],[5,7]
24,[5 ,4],[7 ,5],[5,6]
25,[5 ,5],[7 ,4],[5,5]
26,[5 ,6],[7 ,3],[5,4]
27,[5 ,7],[7 ,2],[6,4]
28,[5 ,8],[7 ,3],[7,4]
29,[5 ,7],[7 ,4],[8,4]
30,[5 ,6],[7 ,5],[8,4]
31,[5 ,5],[7 ,6],[8,4]
32,[5 ,4],[7 ,7],[8,4]
33,[5 ,3],[6 ,7],[8,4]
34,[6 ,3],[6 ,8],[8,4]
35,[7 ,3],[6 ,9],[8,4]
36,[7 ,2],[6 ,8],[8,4]
37,[7 ,3],[6 ,7],[8,4]
38,[6 ,3],[7 ,7],[8,4]
39,[5 ,3],[7 ,6],[8,4]
40,[5 ,4],[7 ,5],[8,4]
41,[5 ,5],[7 ,4],[8,4]
42,[5 ,6],[8 ,4],[8,4]
43,[5 ,7],[8 ,4],[8,4]
44,[5 ,8],[8 ,4],[8,4]
