//Quantitative values
72	//Makespan
54	//Mission completion time hauler 1
35	//Mission completion time hauler 2
72	//Mission completion time hauler 3
2	//Application execution time (in millisecond)
//Path to the final points
0,[10 ,1],[6 ,2],[12,1]
1,[10 ,2],[5 ,2],[11,1]
2,[9 ,2],[4 ,2],[10,1]
3,[8 ,2],[3 ,2],[10,2]
4,[7 ,2],[3 ,3],[9,2]
5,[6 ,2],[3 ,4],[8,2]
6,[5 ,2],[3 ,5],[7,2]
7,[5 ,3],[3 ,6],[6,2]
8,[5 ,4],[3 ,7],[5,2]
9,[5 ,5],[2 ,7],[4,2]
10,[5 ,6],[2 ,8],[4,3]
11,[5 ,7],[1 ,8],[4,4]
12,[5 ,6],[1 ,9],[4,5]
13,[5 ,5],[1 ,10],[4,6]
14,[5 ,4],[1 ,11],[4,7]
15,[5 ,3],[2 ,11],[4,8]
16,[5 ,2],[1 ,11],[4,9]
17,[6 ,2],[1 ,10],[3,9]
18,[7 ,2],[1 ,9],[3,10]
19,[8 ,2],[1 ,8],[3,11]
20,[9 ,2],[2 ,8],[2,11]
21,[8 ,2],[1 ,8],[1,11]
22,[7 ,2],[1 ,9],[1,10]
23,[6 ,2],[1 ,10],[1,9]
24,[5 ,2],[1 ,11],[1,8]
25,[5 ,3],[2 ,11],[2,8]
26,[5 ,4],[1 ,11],[2,9]
27,[5 ,5],[1 ,10],[3,9]
28,[5 ,6],[1 ,9],[3,10]
29,[5 ,7],[1 ,8],[4,10]
30,[4 ,7],[2 ,8],[5,10]
31,[3 ,7],[1 ,8],[6,10]
32,[2 ,7],[1 ,9],[7,10]
33,[2 ,8],[1 ,10],[8,10]
34,[1 ,8],[1 ,11],[8,11]
35,[1 ,9],[2 ,11],[9,11]
36,[1 ,10],[2 ,11],[10,11]
37,[1 ,11],[2 ,11],[9,11]
38,[2 ,11],[2 ,11],[8,11]
39,[3 ,11],[2 ,11],[8,10]
40,[3 ,10],[2 ,11],[7,10]
41,[3 ,9],[2 ,11],[6,10]
42,[4 ,9],[2 ,11],[5,10]
43,[4 ,8],[2 ,11],[4,10]
44,[4 ,7],[2 ,11],[3,10]
45,[4 ,6],[2 ,11],[3,9]
46,[4 ,5],[2 ,11],[2,9]
47,[4 ,4],[2 ,11],[2,8]
48,[4 ,3],[2 ,11],[2,9]
49,[4 ,2],[2 ,11],[3,9]
50,[5 ,2],[2 ,11],[3,10]
51,[6 ,2],[2 ,11],[4,10]
52,[7 ,2],[2 ,11],[5,10]
53,[8 ,2],[2 ,11],[6,10]
54,[9 ,2],[2 ,11],[7,10]
55,[9 ,2],[2 ,11],[8,10]
56,[9 ,2],[2 ,11],[8,11]
57,[9 ,2],[2 ,11],[9,11]
58,[9 ,2],[2 ,11],[10,11]
59,[9 ,2],[2 ,11],[9,11]
60,[9 ,2],[2 ,11],[9,10]
61,[9 ,2],[2 ,11],[9,9]
62,[9 ,2],[2 ,11],[9,8]
63,[9 ,2],[2 ,11],[8,8]
64,[9 ,2],[2 ,11],[8,7]
65,[9 ,2],[2 ,11],[8,6]
66,[9 ,2],[2 ,11],[8,5]
67,[9 ,2],[2 ,11],[8,4]
68,[9 ,2],[2 ,11],[8,3]
69,[9 ,2],[2 ,11],[8,2]
70,[9 ,2],[2 ,11],[9,2]
71,[9 ,2],[2 ,11],[9,2]
72,[9 ,2],[2 ,11],[9,2]
