//Quantitative values
141	//Makespan
112	//Mission completion time hauler 1
133	//Mission completion time hauler 2
142	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[11 ,7],[7 ,1],[3,12]
1,[10 ,7],[7 ,2],[3,11]
2,[9 ,7],[7 ,3],[3,10]
3,[9 ,8],[7 ,4],[4,10]
4,[8 ,8],[7 ,5],[4,9]
5,[7 ,8],[7 ,6],[5,9]
6,[6 ,8],[7 ,7],[6,9]
7,[5 ,8],[7 ,8],[7,9]
8,[5 ,7],[7 ,9],[8,9]
9,[5 ,6],[7 ,10],[9,9]
10,[5 ,5],[7 ,11],[10,9]
11,[5 ,4],[7 ,12],[11,9]
12,[5 ,5],[8 ,12],[12,9]
13,[5 ,6],[9 ,12],[11,9]
14,[6 ,6],[9 ,11],[10,9]
15,[7 ,6],[9 ,10],[9,9]
16,[6 ,6],[9 ,9],[8,9]
17,[5 ,6],[10 ,9],[7,9]
18,[4 ,6],[11 ,9],[6,9]
19,[4 ,7],[12 ,9],[5,9]
20,[4 ,8],[11 ,9],[4,9]
21,[4 ,9],[10 ,9],[4,10]
22,[4 ,10],[9 ,9],[4,11]
23,[4 ,11],[8 ,9],[4,12]
24,[4 ,12],[7 ,9],[4,11]
25,[4 ,11],[6 ,9],[4,10]
26,[4 ,10],[5 ,9],[4,9]
27,[4 ,9],[5 ,8],[5,9]
28,[4 ,8],[5 ,7],[6,9]
29,[4 ,7],[5 ,6],[7,9]
30,[4 ,6],[5 ,5],[8,9]
31,[5 ,6],[5 ,4],[9,9]
32,[6 ,6],[5 ,5],[10,9]
33,[7 ,6],[5 ,6],[11,9]
34,[7 ,7],[5 ,7],[12,9]
35,[7 ,8],[5 ,8],[11,9]
36,[7 ,9],[5 ,9],[10,9]
37,[7 ,10],[6 ,9],[9,9]
38,[7 ,11],[7 ,9],[8,9]
39,[7 ,12],[8 ,9],[7,9]
40,[8 ,12],[9 ,9],[6,9]
41,[9 ,12],[10 ,9],[5,9]
42,[8 ,12],[11 ,9],[4,9]
43,[7 ,12],[12 ,9],[4,10]
44,[7 ,11],[11 ,9],[4,11]
45,[7 ,10],[10 ,9],[4,12]
46,[7 ,9],[9 ,9],[4,11]
