//Quantitative values
111	//Makespan
101	//Mission completion time hauler 1
89	//Mission completion time hauler 2
111	//Mission completion time hauler 3
17	//Application execution time (in millisecond)
//Path to the final points
0,[6 ,4],[12 ,8],[9,10]
1,[6 ,5],[11 ,8],[10,10]
2,[6 ,6],[10 ,8],[10,9]
3,[7 ,6],[9 ,8],[10,8]
4,[8 ,6],[8 ,8],[10,7]
5,[7 ,6],[8 ,7],[10,6]
6,[6 ,6],[8 ,6],[10,5]
7,[5 ,6],[8 ,5],[10,4]
8,[4 ,6],[9 ,5],[11,4]
9,[4 ,7],[10 ,5],[10,4]
10,[3 ,7],[9 ,5],[9,4]
11,[3 ,8],[8 ,5],[8,4]
12,[3 ,9],[8 ,6],[7,4]
13,[3 ,10],[8 ,7],[6,4]
14,[4 ,10],[8 ,8],[5,4]
15,[3 ,10],[9 ,8],[5,5]
16,[3 ,9],[10 ,8],[5,6]
17,[3 ,8],[10 ,9],[4,6]
18,[3 ,7],[11 ,9],[4,7]
19,[4 ,7],[12 ,9],[3,7]
20,[4 ,6],[11 ,9],[3,8]
21,[5 ,6],[10 ,9],[3,9]
22,[5 ,5],[10 ,8],[3,10]
23,[5 ,4],[9 ,8],[4,10]
24,[6 ,4],[8 ,8],[3,10]
25,[7 ,4],[8 ,7],[3,9]
26,[8 ,4],[8 ,6],[3,8]
27,[9 ,4],[8 ,7],[3,7]
28,[10 ,4],[8 ,8],[4,7]
29,[11 ,4],[9 ,8],[4,6]
30,[10 ,4],[10 ,8],[5,6]
31,[9 ,4],[10 ,9],[6,6]
32,[8 ,4],[11 ,9],[7,6]
33,[7 ,4],[12 ,9],[8,6]
34,[6 ,4],[11 ,9],[8,5]
35,[5 ,4],[11 ,8],[9,5]
36,[5 ,5],[11 ,7],[10,5]
37,[5 ,6],[11 ,6],[10,4]
38,[4 ,6],[11 ,5],[11,4]
39,[4 ,7],[11 ,4],[10,4]
40,[3 ,7],[11 ,5],[10,5]
41,[3 ,8],[11 ,6],[10,4]
42,[3 ,9],[11 ,7],[11,4]
43,[3 ,10],[11 ,8],[10,4]
44,[4 ,10],[11 ,9],[9,4]
45,[3 ,10],[12 ,9],[8,4]
46,[3 ,9],[11 ,9],[7,4]
47,[3 ,8],[10 ,9],[6,4]
48,[3 ,7],[10 ,8],[5,4]
49,[4 ,7],[9 ,8],[5,5]
50,[4 ,6],[8 ,8],[5,6]
51,[5 ,6],[8 ,7],[4,6]
52,[5 ,5],[8 ,6],[4,7]
53,[5 ,4],[7 ,6],[3,7]
54,[6 ,4],[6 ,6],[3,8]
55,[7 ,4],[5 ,6],[3,9]
56,[8 ,4],[4 ,6],[3,10]
57,[9 ,4],[4 ,7],[4,10]
58,[10 ,4],[3 ,7],[3,10]
59,[11 ,4],[3 ,8],[3,9]
60,[10 ,4],[3 ,9],[3,8]
61,[10 ,5],[3 ,10],[3,7]
62,[9 ,5],[4 ,10],[4,7]
63,[8 ,5],[3 ,10],[4,6]
64,[8 ,6],[3 ,9],[5,6]
65,[8 ,5],[3 ,8],[5,5]
66,[9 ,5],[3 ,7],[5,4]
67,[10 ,5],[4 ,7],[6,4]
68,[9 ,5],[4 ,6],[7,4]
69,[8 ,5],[5 ,6],[8,4]
70,[8 ,6],[5 ,5],[9,4]
71,[8 ,7],[5 ,4],[10,4]
72,[8 ,8],[6 ,4],[11,4]
73,[9 ,8],[7 ,4],[11,5]
74,[10 ,8],[8 ,4],[11,6]
75,[10 ,9],[9 ,4],[11,7]
76,[11 ,9],[10 ,4],[11,8]
77,[12 ,9],[11 ,4],[11,9]
78,[11 ,9],[10 ,4],[12,9]
79,[10 ,9],[10 ,5],[11,9]
80,[10 ,8],[9 ,5],[11,8]
81,[9 ,8],[8 ,5],[11,7]
82,[8 ,8],[8 ,6],[11,6]
83,[8 ,7],[8 ,7],[11,5]
84,[8 ,6],[8 ,8],[11,4]
85,[8 ,7],[9 ,8],[10,4]
86,[8 ,8],[10 ,8],[9,4]
87,[9 ,8],[10 ,9],[8,4]
88,[10 ,8],[11 ,9],[7,4]
89,[10 ,9],[12 ,9],[6,4]
90,[11 ,9],[12 ,9],[5,4]
91,[12 ,9],[12 ,9],[5,5]
92,[11 ,9],[12 ,9],[5,6]
93,[10 ,9],[12 ,9],[4,6]
94,[10 ,8],[12 ,9],[4,7]
95,[9 ,8],[12 ,9],[3,7]
96,[8 ,8],[12 ,9],[3,8]
97,[8 ,7],[12 ,9],[3,9]
98,[8 ,6],[12 ,9],[3,10]
99,[8 ,5],[12 ,9],[4,10]
100,[9 ,5],[12 ,9],[3,10]
101,[10 ,5],[12 ,9],[3,9]
102,[10 ,5],[12 ,9],[3,8]
103,[10 ,5],[12 ,9],[3,7]
104,[10 ,5],[12 ,9],[4,7]
105,[10 ,5],[12 ,9],[4,6]
106,[10 ,5],[12 ,9],[5,6]
107,[10 ,5],[12 ,9],[6,6]
108,[10 ,5],[12 ,9],[7,6]
109,[10 ,5],[12 ,9],[8,6]
110,[10 ,5],[12 ,9],[8,6]
111,[10 ,5],[12 ,9],[8,6]
