//Quantitative values
49	//Makespan
50	//Mission completion time hauler 1
21	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[12 ,2],[6,8]
1,[12 ,3],[5,8]
2,[12 ,4],[4,8]
3,[11 ,4],[3,8]
4,[10 ,4],[3,7]
5,[9 ,4],[3,6]
6,[9 ,3],[3,5]
7,[8 ,3],[3,4]
8,[7 ,3],[3,3]
9,[6 ,3],[3,2]
10,[5 ,3],[4,2]
11,[5 ,2],[4,1]
12,[5 ,1],[5,1]
13,[4 ,1],[4,1]
14,[4 ,2],[4,2]
15,[3 ,2],[3,2]
16,[3 ,3],[3,3]
17,[3 ,4],[3,2]
18,[3 ,5],[4,2]
19,[3 ,6],[4,1]
20,[3 ,7],[5,1]
21,[3 ,8],[5,1]
22,[3 ,9],[5,1]
23,[3 ,10],[5,1]
24,[4 ,10],[5,1]
25,[5 ,10],[5,1]
26,[6 ,10],[5,1]
27,[7 ,10],[5,1]
28,[8 ,10],[5,1]
29,[9 ,10],[5,1]
30,[10 ,10],[5,1]
31,[11 ,10],[5,1]
32,[12 ,10],[5,1]
33,[11 ,10],[5,1]
34,[10 ,10],[5,1]
35,[9 ,10],[5,1]
36,[8 ,10],[5,1]
37,[7 ,10],[5,1]
38,[6 ,10],[5,1]
39,[5 ,10],[5,1]
40,[4 ,10],[5,1]
41,[3 ,10],[5,1]
42,[3 ,9],[5,1]
43,[3 ,8],[5,1]
44,[3 ,7],[5,1]
45,[3 ,6],[5,1]
46,[3 ,5],[5,1]
47,[3 ,4],[5,1]
48,[3 ,3],[5,1]
49,[3 ,2],[5,1]
