//Quantitative values
95	//Makespan
90	//Mission completion time hauler 1
76	//Mission completion time hauler 2
96	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[3 ,1],[6 ,11],[5,9]
1,[2 ,1],[6 ,10],[5,8]
2,[2 ,2],[6 ,9],[4,8]
3,[2 ,3],[6 ,8],[4,7]
4,[2 ,4],[6 ,7],[4,6]
5,[2 ,5],[6 ,6],[4,5]
6,[2 ,6],[7 ,6],[5,5]
7,[2 ,7],[8 ,6],[5,4]
8,[3 ,7],[8 ,5],[5,3]
9,[4 ,7],[9 ,5],[5,4]
10,[4 ,6],[8 ,5],[5,5]
11,[4 ,5],[8 ,6],[5,6]
12,[5 ,5],[7 ,6],[6,6]
13,[5 ,4],[6 ,6],[6,7]
14,[5 ,3],[5 ,6],[6,8]
15,[6 ,3],[4 ,6],[6,9]
16,[5 ,3],[4 ,7],[6,10]
17,[5 ,4],[3 ,7],[6,11]
18,[5 ,5],[4 ,7],[7,11]
19,[4 ,5],[4 ,6],[8,11]
20,[4 ,6],[4 ,5],[9,11]
21,[4 ,7],[5 ,5],[10,11]
22,[3 ,7],[5 ,4],[9,11]
23,[4 ,7],[5 ,3],[8,11]
24,[4 ,6],[6 ,3],[7,11]
25,[5 ,6],[5 ,3],[6,11]
26,[6 ,6],[6 ,3],[6,10]
27,[7 ,6],[5 ,3],[6,9]
28,[8 ,6],[6 ,3],[6,8]
29,[8 ,5],[7 ,3],[6,7]
30,[9 ,5],[8 ,3],[6,6]
31,[8 ,5],[8 ,4],[5,6]
32,[8 ,6],[8 ,5],[5,5]
33,[7 ,6],[9 ,5],[5,4]
34,[6 ,6],[8 ,5],[5,3]
35,[5 ,6],[8 ,6],[6,3]
36,[4 ,6],[7 ,6],[5,3]
37,[4 ,7],[6 ,6],[6,3]
38,[3 ,7],[5 ,6],[7,3]
39,[4 ,7],[4 ,6],[8,3]
40,[4 ,6],[4 ,7],[8,4]
41,[4 ,5],[3 ,7],[8,5]
42,[5 ,5],[4 ,7],[9,5]
43,[5 ,4],[4 ,6],[8,5]
44,[5 ,3],[4 ,5],[8,4]
45,[6 ,3],[5 ,5],[8,3]
46,[5 ,3],[5 ,4],[7,3]
47,[5 ,4],[5 ,3],[6,3]
48,[5 ,5],[6 ,3],[5,3]
49,[4 ,5],[5 ,3],[5,4]
50,[4 ,6],[5 ,4],[5,5]
51,[4 ,7],[5 ,5],[5,6]
52,[3 ,7],[5 ,6],[6,6]
53,[3 ,8],[6 ,6],[6,7]
54,[3 ,9],[6 ,7],[6,8]
55,[3 ,10],[6 ,8],[6,9]
56,[3 ,11],[6 ,9],[6,10]
57,[4 ,11],[6 ,10],[6,11]
58,[5 ,11],[6 ,11],[7,11]
59,[6 ,11],[7 ,11],[8,11]
60,[7 ,11],[8 ,11],[9,11]
61,[8 ,11],[9 ,11],[10,11]
62,[9 ,11],[10 ,11],[9,11]
63,[10 ,11],[9 ,11],[8,11]
64,[9 ,11],[8 ,11],[7,11]
65,[8 ,11],[7 ,11],[6,11]
66,[7 ,11],[6 ,11],[5,11]
67,[6 ,11],[6 ,10],[4,11]
68,[6 ,10],[6 ,9],[3,11]
69,[6 ,9],[6 ,8],[3,10]
70,[6 ,8],[6 ,7],[3,9]
71,[6 ,7],[6 ,6],[3,8]
72,[6 ,6],[5 ,6],[3,7]
73,[5 ,6],[5 ,5],[4,7]
74,[5 ,5],[5 ,4],[4,6]
75,[5 ,4],[5 ,3],[4,5]
76,[5 ,3],[5 ,3],[5,5]
77,[6 ,3],[5 ,3],[5,4]
78,[7 ,3],[5 ,3],[5,3]
79,[8 ,3],[5 ,3],[6,3]
80,[8 ,4],[5 ,3],[5,3]
81,[8 ,5],[5 ,3],[5,4]
82,[9 ,5],[5 ,3],[5,5]
83,[8 ,5],[5 ,3],[5,6]
84,[8 ,4],[5 ,3],[6,6]
85,[8 ,3],[5 ,3],[6,7]
86,[7 ,3],[5 ,3],[6,8]
87,[6 ,3],[5 ,3],[6,9]
88,[5 ,3],[5 ,3],[6,10]
89,[6 ,3],[5 ,3],[6,11]
90,[6 ,3],[5 ,3],[7,11]
91,[6 ,3],[5 ,3],[8,11]
92,[6 ,3],[5 ,3],[9,11]
93,[6 ,3],[5 ,3],[10,11]
94,[6 ,3],[5 ,3],[10,11]
95,[6 ,3],[5 ,3],[10,11]
