//Quantitative values
128	//Makespan
129	//Mission completion time hauler 1
106	//Mission completion time hauler 2
114	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[3 ,1],[8 ,6],[11,6]
1,[3 ,2],[7 ,6],[10,6]
2,[3 ,3],[7 ,7],[9,6]
3,[3 ,4],[6 ,7],[8,6]
4,[3 ,5],[5 ,7],[7,6]
5,[3 ,6],[4 ,7],[7,7]
6,[3 ,7],[3 ,7],[6,7]
7,[4 ,7],[4 ,7],[5,7]
8,[5 ,7],[5 ,7],[4,7]
9,[6 ,7],[6 ,7],[3,7]
10,[7 ,7],[6 ,8],[4,7]
11,[8 ,7],[6 ,9],[5,7]
12,[9 ,7],[7 ,9],[6,7]
13,[10 ,7],[7 ,10],[7,7]
14,[11 ,7],[7 ,9],[8,7]
15,[12 ,7],[6 ,9],[9,7]
16,[11 ,7],[6 ,8],[10,7]
17,[10 ,7],[6 ,7],[11,7]
18,[9 ,7],[5 ,7],[12,7]
19,[8 ,7],[4 ,7],[11,7]
20,[7 ,7],[3 ,7],[10,7]
21,[6 ,7],[4 ,7],[9,7]
22,[5 ,7],[5 ,7],[8,7]
23,[4 ,7],[6 ,7],[7,7]
24,[3 ,7],[7 ,7],[6,7]
25,[2 ,7],[8 ,7],[5,7]
26,[1 ,7],[9 ,7],[4,7]
27,[1 ,8],[10 ,7],[3,7]
28,[1 ,9],[11 ,7],[2,7]
29,[1 ,8],[12 ,7],[1,7]
30,[1 ,7],[11 ,7],[1,8]
31,[2 ,7],[10 ,7],[1,9]
32,[3 ,7],[9 ,7],[1,10]
33,[4 ,7],[8 ,7],[1,11]
34,[5 ,7],[7 ,7],[2,11]
35,[6 ,7],[6 ,7],[3,11]
36,[7 ,7],[5 ,7],[4,11]
37,[8 ,7],[4 ,7],[5,11]
38,[9 ,7],[3 ,7],[6,11]
39,[10 ,7],[2 ,7],[7,11]
40,[11 ,7],[1 ,7],[7,10]
41,[12 ,7],[1 ,8],[7,9]
42,[11 ,7],[1 ,9],[6,9]
43,[10 ,7],[1 ,8],[6,8]
44,[9 ,7],[1 ,7],[6,7]
45,[8 ,7],[2 ,7],[5,7]
46,[7 ,7],[3 ,7],[4,7]
47,[6 ,7],[4 ,7],[3,7]
48,[5 ,7],[5 ,7],[4,7]
49,[4 ,7],[6 ,7],[5,7]
50,[3 ,7],[7 ,7],[6,7]
51,[2 ,7],[8 ,7],[7,7]
52,[1 ,7],[9 ,7],[8,7]
53,[1 ,8],[10 ,7],[9,7]
54,[1 ,9],[11 ,7],[10,7]
55,[1 ,10],[12 ,7],[11,7]
56,[1 ,11],[11 ,7],[12,7]
57,[2 ,11],[11 ,6],[11,7]
58,[3 ,11],[11 ,5],[10,7]
59,[4 ,11],[11 ,4],[9,7]
60,[5 ,11],[11 ,3],[8,7]
61,[6 ,11],[11 ,2],[7,7]
62,[7 ,11],[11 ,1],[6,7]
63,[7 ,10],[12 ,1],[5,7]
64,[7 ,11],[11 ,1],[4,7]
65,[6 ,11],[11 ,2],[3,7]
66,[5 ,11],[11 ,3],[4,7]
67,[4 ,11],[11 ,4],[5,7]
68,[3 ,11],[11 ,5],[6,7]
69,[2 ,11],[11 ,6],[7,7]
