//Quantitative values
49	//Makespan
25	//Mission completion time hauler 1
42	//Mission completion time hauler 2
50	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[10 ,1],[3 ,3],[12,6]
1,[10 ,2],[3 ,4],[11,6]
2,[10 ,3],[4 ,4],[10,6]
3,[10 ,4],[5 ,4],[9,6]
4,[10 ,5],[6 ,4],[8,6]
5,[10 ,6],[6 ,5],[7,6]
6,[10 ,7],[7 ,5],[7,7]
7,[10 ,8],[7 ,6],[7,8]
8,[10 ,9],[7 ,7],[7,9]
9,[10 ,10],[6 ,7],[7,10]
10,[9 ,10],[5 ,7],[7,11]
11,[8 ,10],[4 ,7],[7,12]
12,[7 ,10],[4 ,8],[6,12]
13,[7 ,11],[4 ,9],[5,12]
14,[7 ,12],[4 ,10],[4,12]
15,[7 ,11],[4 ,9],[4,11]
16,[7 ,10],[4 ,8],[4,10]
17,[8 ,10],[4 ,7],[4,9]
18,[9 ,10],[5 ,7],[4,8]
19,[10 ,10],[5 ,6],[4,7]
20,[9 ,10],[5 ,7],[5,7]
21,[8 ,10],[4 ,7],[6,7]
22,[7 ,10],[4 ,8],[7,7]
23,[7 ,11],[4 ,9],[7,6]
24,[7 ,12],[4 ,10],[7,5]
25,[7 ,12],[4 ,9],[6,5]
26,[7 ,12],[4 ,8],[6,4]
27,[7 ,12],[4 ,7],[5,4]
28,[7 ,12],[5 ,7],[4,4]
29,[7 ,12],[6 ,7],[3,4]
30,[7 ,12],[7 ,7],[2,4]
31,[7 ,12],[7 ,6],[2,3]
32,[7 ,12],[7 ,5],[2,2]
33,[7 ,12],[6 ,5],[2,3]
34,[7 ,12],[6 ,4],[2,4]
35,[7 ,12],[5 ,4],[3,4]
36,[7 ,12],[4 ,4],[4,4]
37,[7 ,12],[3 ,4],[5,4]
38,[7 ,12],[2 ,4],[6,4]
39,[7 ,12],[2 ,3],[6,5]
40,[7 ,12],[2 ,2],[7,5]
41,[7 ,12],[2 ,2],[7,6]
42,[7 ,12],[2 ,2],[7,7]
43,[7 ,12],[2 ,2],[7,8]
44,[7 ,12],[2 ,2],[7,9]
45,[7 ,12],[2 ,2],[7,10]
46,[7 ,12],[2 ,2],[8,10]
47,[7 ,12],[2 ,2],[9,10]
48,[7 ,12],[2 ,2],[10,10]
49,[7 ,12],[2 ,2],[10,10]
