//Quantitative values
43	//Makespan
29	//Mission completion time hauler 1
44	//Mission completion time hauler 2
31	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[10 ,1],[6 ,2],[12,1]
1,[10 ,2],[5 ,2],[11,1]
2,[9 ,2],[4 ,2],[10,1]
3,[8 ,2],[4 ,3],[10,2]
4,[7 ,2],[4 ,4],[9,2]
5,[6 ,2],[4 ,5],[8,2]
6,[5 ,2],[4 ,6],[7,2]
7,[4 ,2],[4 ,7],[6,2]
8,[4 ,3],[4 ,8],[5,2]
9,[4 ,4],[4 ,9],[4,2]
10,[4 ,5],[3 ,9],[4,3]
11,[4 ,6],[3 ,10],[4,4]
12,[4 ,7],[3 ,11],[4,5]
13,[4 ,8],[2 ,11],[4,6]
14,[4 ,9],[3 ,11],[4,7]
15,[3 ,9],[3 ,10],[4,8]
16,[3 ,10],[3 ,9],[4,9]
17,[3 ,11],[4 ,9],[3,9]
18,[2 ,11],[4 ,8],[3,10]
19,[1 ,11],[4 ,7],[3,11]
20,[1 ,10],[4 ,6],[2,11]
21,[1 ,9],[4 ,5],[1,11]
22,[1 ,8],[4 ,4],[1,10]
23,[2 ,8],[4 ,3],[1,9]
24,[1 ,8],[4 ,2],[1,8]
25,[1 ,9],[5 ,2],[2,8]
26,[1 ,10],[6 ,2],[1,8]
27,[1 ,11],[7 ,2],[1,9]
28,[2 ,11],[8 ,2],[1,10]
29,[2 ,11],[9 ,2],[1,11]
30,[2 ,11],[8 ,2],[2,11]
31,[2 ,11],[7 ,2],[2,11]
32,[2 ,11],[6 ,2],[2,11]
33,[2 ,11],[5 ,2],[2,11]
34,[2 ,11],[5 ,3],[2,11]
35,[2 ,11],[5 ,4],[2,11]
36,[2 ,11],[5 ,5],[2,11]
37,[2 ,11],[5 ,6],[2,11]
38,[2 ,11],[5 ,7],[2,11]
39,[2 ,11],[4 ,7],[2,11]
40,[2 ,11],[3 ,7],[2,11]
41,[2 ,11],[2 ,7],[2,11]
42,[2 ,11],[2 ,8],[2,11]
43,[2 ,11],[2 ,8],[2,11]
