//Quantitative values
110	//Makespan
111	//Mission completion time hauler 1
105	//Mission completion time hauler 2
80	//Mission completion time hauler 3
2	//Application execution time (in millisecond)
//Path to the final points
0,[12 ,9],[6 ,9],[11,5]
1,[11 ,9],[5 ,9],[11,6]
2,[10 ,9],[4 ,9],[10,6]
3,[9 ,9],[3 ,9],[9,6]
4,[8 ,9],[3 ,8],[8,6]
5,[7 ,9],[3 ,7],[8,7]
6,[6 ,9],[3 ,6],[8,8]
7,[5 ,9],[3 ,5],[7,8]
8,[5 ,10],[3 ,4],[6,8]
9,[5 ,11],[2 ,4],[5,8]
10,[5 ,12],[2 ,3],[5,9]
11,[4 ,12],[2 ,4],[5,10]
12,[3 ,12],[3 ,4],[5,11]
13,[2 ,12],[3 ,5],[5,12]
14,[1 ,12],[3 ,6],[5,11]
15,[1 ,11],[3 ,7],[5,10]
16,[1 ,10],[3 ,8],[5,9]
17,[1 ,9],[3 ,9],[5,8]
18,[1 ,8],[4 ,9],[6,8]
19,[1 ,7],[5 ,9],[7,8]
20,[1 ,6],[5 ,10],[8,8]
21,[1 ,5],[5 ,11],[7,8]
22,[1 ,6],[5 ,12],[6,8]
23,[1 ,7],[5 ,11],[5,8]
24,[1 ,8],[5 ,10],[4,8]
25,[1 ,9],[5 ,9],[3,8]
26,[1 ,10],[4 ,9],[3,7]
27,[1 ,11],[3 ,9],[3,6]
28,[1 ,12],[3 ,8],[3,5]
29,[2 ,12],[3 ,7],[3,4]
30,[3 ,12],[3 ,6],[2,4]
31,[4 ,12],[3 ,5],[2,3]
32,[5 ,12],[3 ,4],[2,4]
33,[4 ,12],[2 ,4],[3,4]
34,[3 ,12],[2 ,3],[3,5]
35,[2 ,12],[2 ,4],[3,6]
36,[1 ,12],[3 ,4],[3,7]
37,[1 ,11],[3 ,5],[3,8]
38,[1 ,10],[3 ,6],[3,9]
39,[1 ,9],[3 ,7],[4,9]
40,[1 ,8],[3 ,8],[5,9]
41,[1 ,7],[3 ,9],[5,10]
42,[1 ,6],[4 ,9],[5,11]
43,[1 ,5],[5 ,9],[5,12]
44,[1 ,6],[5 ,10],[5,11]
45,[1 ,7],[5 ,11],[5,10]
46,[1 ,8],[5 ,12],[5,9]
47,[2 ,8],[5 ,11],[5,8]
48,[3 ,8],[5 ,10],[6,8]
49,[3 ,7],[5 ,9],[7,8]
50,[3 ,6],[4 ,9],[8,8]
51,[3 ,5],[3 ,9],[7,8]
52,[3 ,4],[3 ,8],[6,8]
53,[2 ,4],[3 ,7],[5,8]
54,[2 ,3],[3 ,6],[5,9]
55,[2 ,4],[3 ,5],[5,10]
56,[3 ,4],[3 ,4],[5,11]
57,[3 ,5],[2 ,4],[5,12]
58,[3 ,6],[2 ,3],[5,11]
59,[3 ,7],[2 ,4],[5,10]
60,[3 ,8],[3 ,4],[5,9]
61,[2 ,8],[3 ,5],[5,8]
62,[1 ,8],[3 ,6],[6,8]
63,[1 ,7],[3 ,7],[7,8]
64,[1 ,6],[3 ,8],[8,8]
65,[1 ,5],[3 ,7],[7,8]
66,[1 ,6],[3 ,6],[6,8]
67,[1 ,7],[3 ,5],[5,8]
68,[1 ,8],[3 ,4],[4,8]
69,[1 ,9],[2 ,4],[3,8]
70,[1 ,10],[2 ,3],[2,8]
71,[1 ,11],[2 ,4],[1,8]
72,[1 ,12],[3 ,4],[1,7]
73,[2 ,12],[3 ,5],[1,6]
74,[3 ,12],[3 ,6],[1,5]
75,[4 ,12],[3 ,7],[1,6]
76,[5 ,12],[3 ,8],[1,7]
77,[4 ,12],[3 ,9],[1,8]
78,[3 ,12],[4 ,9],[2,8]
79,[2 ,12],[5 ,9],[3,8]
80,[1 ,12],[5 ,10],[3,8]
81,[1 ,11],[5 ,11],[3,8]
82,[1 ,10],[5 ,12],[3,8]
83,[1 ,9],[4 ,12],[3,8]
84,[1 ,8],[3 ,12],[3,8]
85,[1 ,7],[2 ,12],[3,8]
86,[1 ,6],[1 ,12],[3,8]
87,[1 ,5],[1 ,11],[3,8]
88,[1 ,6],[1 ,10],[3,8]
89,[1 ,7],[1 ,9],[3,8]
90,[1 ,8],[1 ,8],[3,8]
91,[1 ,9],[1 ,7],[3,8]
92,[1 ,10],[1 ,6],[3,8]
93,[1 ,11],[1 ,5],[3,8]
94,[1 ,12],[1 ,6],[3,8]
95,[2 ,12],[1 ,7],[3,8]
96,[3 ,12],[1 ,8],[3,8]
97,[4 ,12],[2 ,8],[3,8]
98,[5 ,12],[3 ,8],[3,8]
99,[5 ,11],[3 ,7],[3,8]
100,[5 ,10],[3 ,6],[3,8]
101,[5 ,9],[3 ,5],[3,8]
102,[4 ,9],[3 ,4],[3,8]
103,[3 ,9],[2 ,4],[3,8]
104,[3 ,8],[2 ,3],[3,8]
105,[3 ,7],[2 ,3],[3,8]
106,[3 ,6],[2 ,3],[3,8]
107,[3 ,5],[2 ,3],[3,8]
108,[3 ,4],[2 ,3],[3,8]
109,[2 ,4],[2 ,3],[3,8]
110,[2 ,3],[2 ,3],[3,8]
