//Quantitative values
78	//Makespan
65	//Mission completion time hauler 1
62	//Mission completion time hauler 2
78	//Mission completion time hauler 3
9	//Application execution time (in millisecond)
//Path to the final points
0,[3 ,1],[6 ,11],[5,9]
1,[3 ,2],[5 ,11],[5,10]
2,[3 ,3],[4 ,11],[5,11]
3,[4 ,3],[3 ,11],[6,11]
4,[5 ,3],[3 ,10],[7,11]
5,[6 ,3],[3 ,9],[8,11]
6,[7 ,3],[3 ,8],[9,11]
7,[8 ,3],[3 ,7],[10,11]
8,[8 ,4],[4 ,7],[9,11]
9,[8 ,5],[4 ,6],[8,11]
10,[9 ,5],[5 ,6],[7,11]
11,[8 ,5],[6 ,6],[6,11]
12,[8 ,6],[7 ,6],[6,10]
13,[7 ,6],[8 ,6],[6,9]
14,[6 ,6],[8 ,5],[6,8]
15,[5 ,6],[9 ,5],[6,7]
16,[4 ,6],[8 ,5],[6,6]
17,[4 ,7],[8 ,4],[5,6]
18,[3 ,7],[8 ,3],[5,5]
19,[4 ,7],[7 ,3],[5,4]
20,[4 ,6],[6 ,3],[5,3]
21,[4 ,5],[5 ,3],[5,4]
22,[5 ,5],[5 ,4],[5,5]
23,[5 ,4],[5 ,5],[5,6]
24,[5 ,3],[5 ,6],[6,6]
25,[6 ,3],[6 ,6],[6,7]
26,[5 ,3],[6 ,7],[6,8]
27,[5 ,4],[6 ,8],[6,9]
28,[5 ,5],[6 ,9],[6,10]
29,[4 ,5],[6 ,10],[6,11]
30,[4 ,6],[6 ,11],[7,11]
31,[4 ,7],[7 ,11],[8,11]
32,[3 ,7],[8 ,11],[9,11]
33,[4 ,7],[9 ,11],[10,11]
34,[4 ,6],[10 ,11],[9,11]
35,[4 ,5],[9 ,11],[8,11]
36,[5 ,5],[8 ,11],[7,11]
37,[5 ,4],[7 ,11],[6,11]
38,[5 ,3],[6 ,11],[6,10]
39,[6 ,3],[6 ,10],[6,9]
40,[5 ,3],[6 ,9],[6,8]
41,[6 ,3],[6 ,8],[6,7]
42,[7 ,3],[6 ,7],[6,6]
43,[8 ,3],[6 ,6],[5,6]
44,[8 ,4],[5 ,6],[5,5]
45,[8 ,5],[5 ,5],[5,4]
46,[9 ,5],[5 ,4],[5,3]
47,[8 ,5],[5 ,3],[6,3]
48,[8 ,6],[6 ,3],[5,3]
49,[7 ,6],[5 ,3],[6,3]
50,[6 ,6],[6 ,3],[5,3]
51,[5 ,6],[7 ,3],[5,4]
52,[4 ,6],[8 ,3],[5,5]
53,[4 ,7],[8 ,4],[5,6]
54,[3 ,7],[8 ,5],[6,6]
55,[3 ,8],[9 ,5],[6,7]
56,[3 ,9],[8 ,5],[6,8]
57,[3 ,10],[8 ,4],[6,9]
58,[3 ,11],[8 ,3],[6,10]
59,[4 ,11],[7 ,3],[6,11]
60,[5 ,11],[6 ,3],[7,11]
61,[6 ,11],[5 ,3],[8,11]
62,[7 ,11],[6 ,3],[9,11]
63,[8 ,11],[6 ,3],[10,11]
64,[9 ,11],[6 ,3],[9,11]
65,[10 ,11],[6 ,3],[8,11]
66,[10 ,11],[6 ,3],[7,11]
67,[10 ,11],[6 ,3],[6,11]
68,[10 ,11],[6 ,3],[6,10]
69,[10 ,11],[6 ,3],[6,9]
70,[10 ,11],[6 ,3],[6,8]
71,[10 ,11],[6 ,3],[6,7]
72,[10 ,11],[6 ,3],[6,6]
73,[10 ,11],[6 ,3],[5,6]
74,[10 ,11],[6 ,3],[5,5]
75,[10 ,11],[6 ,3],[5,4]
76,[10 ,11],[6 ,3],[5,3]
77,[10 ,11],[6 ,3],[5,3]
78,[10 ,11],[6 ,3],[5,3]
