//Quantitative values
91	//Makespan
88	//Mission completion time hauler 1
92	//Mission completion time hauler 2
77	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[12 ,2],[11 ,10],[9,1]
1,[11 ,2],[10 ,10],[8,1]
2,[10 ,2],[10 ,9],[8,2]
3,[9 ,2],[10 ,8],[7,2]
4,[8 ,2],[10 ,7],[6,2]
5,[7 ,2],[10 ,6],[5,2]
6,[6 ,2],[10 ,5],[4,2]
7,[5 ,2],[9 ,5],[3,2]
8,[4 ,2],[9 ,4],[3,3]
9,[3 ,2],[9 ,3],[2,3]
10,[3 ,3],[9 ,2],[2,4]
11,[2 ,3],[8 ,2],[2,5]
12,[2 ,4],[8 ,3],[1,5]
13,[2 ,5],[8 ,4],[1,6]
14,[1 ,5],[8 ,5],[1,7]
15,[1 ,6],[8 ,6],[1,8]
16,[1 ,7],[8 ,7],[1,9]
17,[1 ,8],[8 ,8],[1,10]
18,[1 ,9],[8 ,9],[1,11]
19,[1 ,10],[7 ,9],[1,10]
20,[1 ,11],[6 ,9],[1,9]
21,[1 ,10],[5 ,9],[2,9]
22,[1 ,9],[4 ,9],[3,9]
23,[2 ,9],[3 ,9],[4,9]
24,[1 ,9],[2 ,9],[5,9]
25,[1 ,10],[1 ,9],[6,9]
26,[1 ,11],[1 ,10],[7,9]
27,[1 ,10],[1 ,11],[8,9]
28,[1 ,9],[1 ,10],[8,8]
29,[2 ,9],[1 ,9],[8,7]
30,[3 ,9],[1 ,10],[8,6]
31,[3 ,8],[1 ,11],[8,5]
32,[3 ,7],[1 ,10],[8,4]
33,[4 ,7],[1 ,9],[8,3]
34,[5 ,7],[2 ,9],[8,2]
35,[5 ,6],[3 ,9],[9,2]
36,[5 ,5],[3 ,8],[8,2]
37,[5 ,4],[3 ,7],[8,3]
38,[6 ,4],[4 ,7],[8,4]
39,[6 ,3],[5 ,7],[8,5]
40,[6 ,2],[5 ,6],[8,6]
41,[7 ,2],[5 ,5],[8,7]
42,[8 ,2],[5 ,4],[8,8]
43,[9 ,2],[6 ,4],[8,9]
44,[8 ,2],[6 ,3],[8,8]
45,[7 ,2],[6 ,2],[8,7]
46,[6 ,2],[7 ,2],[8,6]
47,[5 ,2],[8 ,2],[8,5]
48,[4 ,2],[9 ,2],[8,4]
49,[3 ,2],[8 ,2],[8,3]
50,[3 ,3],[7 ,2],[8,2]
51,[2 ,3],[6 ,2],[9,2]
52,[2 ,4],[6 ,3],[8,2]
53,[2 ,5],[6 ,4],[7,2]
54,[1 ,5],[5 ,4],[6,2]
55,[1 ,6],[5 ,5],[6,3]
56,[1 ,7],[5 ,6],[6,4]
57,[1 ,8],[5 ,7],[5,4]
58,[1 ,9],[4 ,7],[5,5]
59,[1 ,8],[3 ,7],[5,6]
60,[1 ,7],[3 ,8],[5,7]
61,[1 ,6],[3 ,9],[4,7]
62,[1 ,5],[2 ,9],[3,7]
63,[2 ,5],[3 ,9],[3,8]
64,[2 ,4],[3 ,8],[3,9]
65,[2 ,3],[3 ,7],[2,9]
66,[3 ,3],[4 ,7],[1,9]
67,[3 ,2],[5 ,7],[1,10]
68,[4 ,2],[5 ,6],[1,11]
69,[5 ,2],[5 ,5],[1,10]
70,[6 ,2],[5 ,4],[1,9]
71,[7 ,2],[6 ,4],[2,9]
72,[8 ,2],[6 ,3],[1,9]
73,[9 ,2],[6 ,2],[1,10]
74,[8 ,2],[7 ,2],[1,11]
75,[7 ,2],[8 ,2],[1,10]
76,[6 ,2],[9 ,2],[1,9]
77,[6 ,3],[8 ,2],[1,9]
78,[6 ,4],[7 ,2],[1,9]
79,[5 ,4],[6 ,2],[1,9]
80,[5 ,5],[6 ,3],[1,9]
81,[5 ,6],[6 ,4],[1,9]
82,[5 ,7],[5 ,4],[1,9]
83,[4 ,7],[5 ,5],[1,9]
84,[3 ,7],[5 ,6],[1,9]
85,[3 ,8],[5 ,7],[1,9]
86,[3 ,9],[4 ,7],[1,9]
87,[2 ,9],[3 ,7],[1,9]
88,[2 ,9],[3 ,8],[1,9]
89,[2 ,9],[3 ,9],[1,9]
90,[2 ,9],[2 ,9],[1,9]
91,[2 ,9],[2 ,9],[1,9]
