//Quantitative values
116	//Makespan
94	//Mission completion time hauler 1
102	//Mission completion time hauler 2
117	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[3 ,1],[8 ,6],[11,6]
1,[3 ,2],[8 ,7],[10,6]
2,[4 ,2],[9 ,7],[9,6]
3,[5 ,2],[10 ,7],[8,6]
4,[6 ,2],[11 ,7],[7,6]
5,[7 ,2],[12 ,7],[7,7]
6,[8 ,2],[11 ,7],[7,8]
7,[9 ,2],[10 ,7],[7,9]
8,[10 ,2],[9 ,7],[7,10]
9,[11 ,2],[8 ,7],[7,9]
10,[11 ,1],[7 ,7],[7,8]
11,[12 ,1],[6 ,7],[7,7]
12,[11 ,1],[5 ,7],[7,6]
13,[11 ,2],[4 ,7],[7,5]
14,[11 ,3],[3 ,7],[7,4]
15,[11 ,4],[4 ,7],[7,3]
16,[11 ,5],[5 ,7],[7,2]
17,[11 ,6],[6 ,7],[8,2]
18,[11 ,7],[6 ,8],[9,2]
19,[12 ,7],[6 ,9],[10,2]
20,[11 ,7],[7 ,9],[11,2]
21,[11 ,6],[7 ,10],[11,1]
22,[11 ,5],[7 ,9],[12,1]
23,[11 ,4],[7 ,8],[11,1]
24,[11 ,3],[7 ,7],[11,2]
25,[11 ,2],[7 ,6],[10,2]
26,[11 ,1],[7 ,5],[9,2]
27,[12 ,1],[7 ,4],[8,2]
28,[11 ,1],[7 ,3],[7,2]
29,[11 ,2],[7 ,2],[7,3]
30,[11 ,3],[8 ,2],[7,4]
31,[11 ,4],[9 ,2],[7,5]
32,[11 ,5],[10 ,2],[7,6]
33,[11 ,6],[11 ,2],[7,7]
34,[11 ,7],[11 ,1],[7,8]
35,[12 ,7],[12 ,1],[7,9]
36,[11 ,7],[11 ,1],[7,10]
37,[10 ,7],[11 ,2],[7,9]
38,[9 ,7],[10 ,2],[7,8]
39,[8 ,7],[9 ,2],[7,7]
40,[7 ,7],[8 ,2],[7,6]
41,[6 ,7],[7 ,2],[7,5]
42,[5 ,7],[7 ,3],[7,4]
43,[4 ,7],[7 ,4],[7,3]
44,[3 ,7],[7 ,5],[7,2]
45,[2 ,7],[7 ,6],[8,2]
46,[1 ,7],[7 ,7],[9,2]
47,[1 ,8],[7 ,8],[10,2]
48,[1 ,9],[7 ,9],[11,2]
49,[1 ,10],[7 ,10],[11,1]
50,[1 ,11],[7 ,9],[12,1]
51,[2 ,11],[6 ,9],[11,1]
52,[3 ,11],[6 ,8],[11,2]
53,[4 ,11],[6 ,7],[10,2]
54,[5 ,11],[5 ,7],[9,2]
55,[6 ,11],[4 ,7],[8,2]
56,[7 ,11],[3 ,7],[7,2]
57,[7 ,10],[4 ,7],[7,3]
58,[7 ,11],[5 ,7],[7,4]
59,[6 ,11],[6 ,7],[7,5]
60,[5 ,11],[6 ,8],[7,6]
61,[4 ,11],[6 ,9],[7,7]
62,[3 ,11],[7 ,9],[7,8]
63,[2 ,11],[7 ,10],[7,9]
64,[1 ,11],[7 ,9],[7,10]
65,[1 ,10],[7 ,8],[7,9]
66,[1 ,9],[7 ,7],[6,9]
67,[1 ,10],[7 ,6],[6,8]
68,[1 ,11],[7 ,5],[6,7]
69,[2 ,11],[7 ,4],[5,7]
70,[3 ,11],[7 ,3],[4,7]
71,[4 ,11],[7 ,2],[3,7]
72,[5 ,11],[8 ,2],[4,7]
73,[6 ,11],[9 ,2],[5,7]
74,[7 ,11],[10 ,2],[6,7]
75,[7 ,10],[11 ,2],[7,7]
76,[7 ,11],[11 ,1],[8,7]
77,[6 ,11],[12 ,1],[9,7]
78,[5 ,11],[11 ,1],[10,7]
79,[4 ,11],[11 ,2],[11,7]
80,[3 ,11],[10 ,2],[12,7]
81,[2 ,11],[9 ,2],[11,7]
82,[1 ,11],[8 ,2],[10,7]
83,[1 ,10],[7 ,2],[9,7]
84,[1 ,9],[7 ,3],[8,7]
85,[1 ,10],[7 ,4],[7,7]
86,[1 ,11],[7 ,5],[6,7]
87,[2 ,11],[7 ,6],[5,7]
88,[3 ,11],[7 ,7],[4,7]
89,[4 ,11],[7 ,8],[3,7]
90,[5 ,11],[7 ,9],[2,7]
91,[6 ,11],[7 ,10],[1,7]
92,[7 ,11],[7 ,11],[1,8]
93,[7 ,10],[6 ,11],[1,9]
94,[7 ,10],[5 ,11],[1,8]
95,[7 ,10],[4 ,11],[1,7]
96,[7 ,10],[3 ,11],[2,7]
97,[7 ,10],[2 ,11],[3,7]
98,[7 ,10],[1 ,11],[4,7]
99,[7 ,10],[1 ,10],[5,7]
100,[7 ,10],[1 ,9],[6,7]
101,[7 ,10],[1 ,9],[7,7]
102,[7 ,10],[1 ,9],[8,7]
103,[7 ,10],[1 ,9],[9,7]
104,[7 ,10],[1 ,9],[10,7]
105,[7 ,10],[1 ,9],[11,7]
106,[7 ,10],[1 ,9],[12,7]
107,[7 ,10],[1 ,9],[11,7]
108,[7 ,10],[1 ,9],[10,7]
109,[7 ,10],[1 ,9],[9,7]
110,[7 ,10],[1 ,9],[8,7]
111,[7 ,10],[1 ,9],[7,7]
112,[7 ,10],[1 ,9],[6,7]
113,[7 ,10],[1 ,9],[5,7]
114,[7 ,10],[1 ,9],[4,7]
115,[7 ,10],[1 ,9],[3,7]
116,[7 ,10],[1 ,9],[3,7]
