//Quantitative values
80	//Makespan
80	//Mission completion time hauler 1
64	//Mission completion time hauler 2
62	//Mission completion time hauler 3
3	//Application execution time (in millisecond)
//Path to the final points
0,[10 ,1],[8 ,7],[12,7]
1,[9 ,1],[8 ,6],[11,7]
2,[9 ,2],[9 ,6],[10,7]
3,[9 ,3],[8 ,6],[9,7]
4,[8 ,3],[8 ,5],[9,6]
5,[8 ,4],[8 ,4],[8,6]
6,[8 ,5],[8 ,3],[8,5]
7,[8 ,6],[9 ,3],[8,4]
8,[9 ,6],[9 ,2],[8,3]
9,[8 ,6],[9 ,1],[9,3]
10,[8 ,5],[10 ,1],[9,2]
11,[8 ,4],[11 ,1],[9,1]
12,[8 ,3],[12 ,1],[10,1]
13,[9 ,3],[11 ,1],[11,1]
14,[9 ,2],[10 ,1],[12,1]
15,[9 ,1],[9 ,1],[11,1]
16,[10 ,1],[9 ,2],[10,1]
17,[11 ,1],[9 ,3],[9,1]
18,[12 ,1],[8 ,3],[9,2]
19,[11 ,1],[8 ,4],[9,3]
20,[10 ,1],[8 ,5],[8,3]
21,[9 ,1],[8 ,6],[8,4]
22,[9 ,2],[9 ,6],[8,5]
23,[9 ,3],[8 ,6],[8,6]
24,[8 ,3],[8 ,5],[9,6]
25,[8 ,4],[8 ,4],[9,7]
26,[8 ,5],[8 ,3],[9,8]
27,[8 ,6],[9 ,3],[9,9]
28,[9 ,6],[9 ,2],[9,10]
29,[8 ,6],[9 ,1],[9,11]
30,[8 ,5],[10 ,1],[8,11]
31,[8 ,4],[11 ,1],[9,11]
32,[8 ,3],[12 ,1],[9,10]
33,[9 ,3],[11 ,1],[9,9]
34,[9 ,2],[10 ,1],[9,8]
35,[9 ,1],[9 ,1],[9,7]
36,[10 ,1],[9 ,2],[9,6]
37,[11 ,1],[9 ,3],[8,6]
38,[12 ,1],[8 ,3],[8,5]
39,[11 ,1],[8 ,4],[8,4]
40,[10 ,1],[8 ,5],[8,3]
41,[9 ,1],[8 ,6],[9,3]
42,[9 ,2],[8 ,7],[8,3]
43,[9 ,3],[8 ,8],[8,4]
44,[8 ,3],[8 ,9],[8,5]
45,[8 ,4],[9 ,9],[8,6]
46,[8 ,5],[9 ,10],[8,7]
47,[8 ,6],[9 ,11],[8,8]
48,[8 ,7],[8 ,11],[8,9]
49,[8 ,8],[9 ,11],[9,9]
50,[8 ,9],[9 ,10],[8,9]
51,[9 ,9],[9 ,9],[8,8]
52,[8 ,9],[8 ,9],[8,7]
53,[8 ,8],[8 ,8],[8,6]
54,[8 ,7],[8 ,7],[8,5]
55,[8 ,6],[8 ,6],[8,4]
56,[8 ,5],[8 ,5],[8,3]
57,[8 ,4],[8 ,4],[9,3]
58,[8 ,3],[8 ,3],[9,2]
59,[9 ,3],[9 ,3],[9,1]
60,[8 ,3],[9 ,2],[10,1]
61,[8 ,4],[9 ,1],[11,1]
62,[8 ,5],[10 ,1],[12,1]
63,[8 ,6],[11 ,1],[12,1]
64,[8 ,7],[12 ,1],[12,1]
65,[8 ,8],[12 ,1],[12,1]
66,[8 ,9],[12 ,1],[12,1]
67,[9 ,9],[12 ,1],[12,1]
68,[8 ,9],[12 ,1],[12,1]
69,[8 ,8],[12 ,1],[12,1]
70,[8 ,7],[12 ,1],[12,1]
71,[8 ,6],[12 ,1],[12,1]
72,[8 ,5],[12 ,1],[12,1]
73,[8 ,4],[12 ,1],[12,1]
74,[8 ,3],[12 ,1],[12,1]
75,[9 ,3],[12 ,1],[12,1]
76,[9 ,2],[12 ,1],[12,1]
77,[9 ,1],[12 ,1],[12,1]
78,[10 ,1],[12 ,1],[12,1]
79,[11 ,1],[12 ,1],[12,1]
80,[12 ,1],[12 ,1],[12,1]
