//Quantitative values
83	//Makespan
55	//Mission completion time hauler 1
73	//Mission completion time hauler 2
84	//Mission completion time hauler 3
1	//Application execution time (in millisecond)
//Path to the final points
0,[10 ,1],[3 ,3],[12,6]
1,[9 ,1],[3 ,4],[11,6]
2,[8 ,1],[4 ,4],[10,6]
3,[7 ,1],[5 ,4],[9,6]
4,[7 ,2],[6 ,4],[8,6]
5,[7 ,3],[6 ,5],[7,6]
6,[7 ,4],[7 ,5],[7,5]
7,[7 ,5],[7 ,6],[6,5]
8,[7 ,6],[7 ,7],[6,4]
9,[7 ,7],[6 ,7],[5,4]
10,[6 ,7],[5 ,7],[4,4]
11,[5 ,7],[4 ,7],[3,4]
12,[4 ,7],[4 ,8],[2,4]
13,[4 ,8],[4 ,9],[2,3]
14,[4 ,9],[4 ,10],[2,2]
15,[4 ,10],[4 ,11],[2,3]
16,[4 ,9],[4 ,12],[2,4]
17,[4 ,8],[5 ,12],[3,4]
18,[4 ,7],[6 ,12],[4,4]
19,[5 ,7],[7 ,12],[5,4]
20,[5 ,6],[7 ,11],[6,4]
21,[5 ,7],[7 ,10],[6,5]
22,[4 ,7],[8 ,10],[7,5]
23,[4 ,8],[9 ,10],[7,6]
24,[4 ,9],[10 ,10],[7,7]
25,[4 ,10],[9 ,10],[6,7]
26,[4 ,11],[8 ,10],[5,7]
27,[4 ,12],[7 ,10],[4,7]
28,[5 ,12],[7 ,11],[4,8]
29,[6 ,12],[7 ,12],[4,9]
30,[7 ,12],[6 ,12],[4,10]
31,[7 ,11],[5 ,12],[4,9]
32,[7 ,10],[4 ,12],[4,8]
33,[8 ,10],[4 ,11],[4,7]
34,[9 ,10],[4 ,10],[5,7]
35,[10 ,10],[4 ,9],[6,7]
36,[9 ,10],[4 ,8],[7,7]
37,[8 ,10],[4 ,7],[7,6]
38,[7 ,10],[5 ,7],[7,5]
39,[7 ,11],[6 ,7],[6,5]
40,[7 ,12],[7 ,7],[6,4]
41,[7 ,11],[7 ,6],[5,4]
42,[7 ,10],[7 ,5],[4,4]
43,[8 ,10],[6 ,5],[3,4]
44,[9 ,10],[6 ,4],[2,4]
45,[10 ,10],[5 ,4],[2,3]
46,[9 ,10],[4 ,4],[2,2]
47,[8 ,10],[3 ,4],[2,3]
48,[7 ,10],[2 ,4],[2,4]
49,[6 ,10],[2 ,3],[3,4]
50,[5 ,10],[2 ,2],[4,4]
51,[5 ,9],[2 ,3],[5,4]
52,[5 ,8],[2 ,4],[6,4]
53,[5 ,7],[3 ,4],[6,5]
54,[5 ,6],[4 ,4],[7,5]
55,[5 ,6],[5 ,4],[7,6]
56,[5 ,6],[6 ,4],[7,7]
57,[5 ,6],[6 ,5],[6,7]
58,[5 ,6],[7 ,5],[5,7]
59,[5 ,6],[7 ,6],[4,7]
60,[5 ,6],[7 ,7],[4,8]
61,[5 ,6],[6 ,7],[4,9]
62,[5 ,6],[5 ,7],[4,10]
63,[5 ,6],[4 ,7],[4,11]
64,[5 ,6],[4 ,8],[4,12]
65,[5 ,6],[4 ,9],[5,12]
66,[5 ,6],[4 ,10],[6,12]
67,[5 ,6],[4 ,9],[7,12]
68,[5 ,6],[4 ,8],[7,11]
69,[5 ,6],[4 ,7],[7,10]
70,[5 ,6],[5 ,7],[8,10]
71,[5 ,6],[5 ,6],[9,10]
72,[5 ,6],[5 ,6],[10,10]
73,[5 ,6],[5 ,6],[9,10]
74,[5 ,6],[5 ,6],[8,10]
75,[5 ,6],[5 ,6],[7,10]
76,[5 ,6],[5 ,6],[7,11]
77,[5 ,6],[5 ,6],[7,12]
78,[5 ,6],[5 ,6],[7,11]
79,[5 ,6],[5 ,6],[7,10]
80,[5 ,6],[5 ,6],[8,10]
81,[5 ,6],[5 ,6],[9,10]
82,[5 ,6],[5 ,6],[10,10]
83,[5 ,6],[5 ,6],[10,10]
