comment,baseline makespan,your solution makespan,your solution exec. time,initial test,move test,makespan test,obstacle test,hauler test,charging test,mission test
Part1,
0-Easy,
3,66,130,1,True,True,True,True,True,True,True
4,72,103,1,True,True,True,True,True,True,True
5,49,135,1,True,True,True,True,True,True,True
    Mission length=10,
1,75,192,2,True,True,True,True,True,True,True
2,41,263,1,True,True,True,True,True,True,True
3,120,173,1,True,True,True,True,True,True,True
4,90,124,1,True,True,True,True,True,True,True
5,82,162,2,True,True,True,True,True,True,True
    Mission length=12,
1,107,199,2,True,True,True,True,True,True,True
2,84,299,2,True,True,True,True,True,True,True
3,116,219,1,True,True,True,True,True,True,True
4,85,144,1,True,True,True,True,True,True,True
5,71,205,1,True,True,True,True,True,True,True
    Mission length=14,
1,133,228,1,True,True,True,True,True,True,True
2,97,336,2,True,True,True,True,True,True,True
3,108,234,1,True,True,True,True,True,True,True
4,85,175,1,True,True,True,True,True,True,True
5,74,232,2,True,True,True,True,True,True,True
    Mission length=16,
1,127,274,2,True,True,True,True,True,True,True
2,119,377,2,True,True,True,True,True,True,True
3,150,267,1,True,True,True,True,True,True,True
4,126,228,1,True,True,True,True,True,True,True
5,92,245,2,True,True,True,True,True,True,True
    Mission length=18,
1,157,341,2,True,True,True,True,True,True,True
2,115,437,2,True,True,True,True,True,True,True
3,172,314,2,True,True,True,True,True,True,True
4,164,271,2,True,True,True,True,True,True,True
5,107,322,1,True,True,True,True,True,True,True
2-Hard,
    Mission length=8,
1,131,265,1,True,True,True,True,True,True,True
2,77,210,1,True,True,True,True,True,True,True
3,116,255,1,True,True,True,True,True,True,True
4,98,217,1,True,True,True,True,True,True,True
5,57,137,2,True,True,True,True,True,True,True
    Mission length=10,
1,109,272,1,True,True,True,True,True,True,True
2,116,169,1,True,True,True,True,True,True,True
3,167,272,1,True,True,True,True,True,True,True
4,92,283,1,True,True,True,True,True,True,True
5,88,171,1,True,True,True,True,True,True,True
    Mission length=12,
1,129,379,1,True,True,True,True,True,True,True
2,184,291,1,True,True,True,True,True,True,True
3,207,360,1,True,True,True,True,True,True,True
4,122,377,1,True,True,True,True,True,True,True
5,81,185,1,True,True,True,True,True,True,True
    Mission length=14,
1,167,411,1,True,True,True,True,True,True,True
2,224,323,1,True,True,True,True,True,True,True
3,255,444,2,True,True,True,True,True,True,True
4,126,426,1,True,True,True,True,True,True,True
5,119,249,1,True,True,True,True,True,True,True
    Mission length=16,
1,211,397,1,True,True,True,True,True,True,True
2,268,425,1,True,True,True,True,True,True,True
3,262,509,2,True,True,True,True,True,True,True
4,158,504,2,True,True,True,True,True,True,True
5,156,288,1,True,True,True,True,True,True,True
    Mission length=18,
1,185,543,2,True,True,True,True,True,True,True
2,259,485,2,True,True,True,True,True,True,True
3,294,545,1,True,True,True,True,True,True,True
4,174,532,2,True,True,True,True,True,True,True
5,141,287,1,True,True,True,True,True,True,True
Part3,
0-Easy,
    Mission length=4,
1,49,-1,-1,False,False,False,False,False,False,False
2,27,-1,-1,False,False,False,False,False,False,False
3,34,-1,-1,False,False,False,False,False,False,False
4,22,-1,-1,False,False,False,False,False,False,False
5,26,-1,-1,False,False,False,False,False,False,False
    Mission length=6,
1,84,-1,-1,False,False,False,False,False,False,False
2,49,-1,-1,False,False,False,False,False,False,False
3,67,-1,-1,False,False,False,False,False,False,False
4,47,-1,-1,False,False,False,False,False,False,False
5,44,-1,-1,False,False,False,False,False,False,False
    Mission length=8,
1,118,-1,-1,False,False,False,False,False,False,False
2,51,-1,-1,False,False,False,False,False,False,False
3,88,-1,-1,False,False,False,False,False,False,False
4,64,-1,-1,False,False,False,False,False,False,False
5,46,-1,-1,False,False,False,False,False,False,False
    Mission length=10,
1,100,-1,-1,False,False,False,False,False,False,False
2,79,-1,-1,False,False,False,False,False,False,False
3,102,-1,-1,False,False,False,False,False,False,False
4,70,-1,-1,False,False,False,False,False,False,False
5,72,-1,-1,False,False,False,False,False,False,False
    Mission length=12,
1,132,-1,-1,False,False,False,False,False,False,False
2,71,-1,-1,False,False,False,False,False,False,False
3,108,-1,-1,False,False,False,False,False,False,False
4,106,-1,-1,False,False,False,False,False,False,False
5,74,-1,-1,False,False,False,False,False,False,False
    Mission length=14,
1,188,-1,-1,False,False,False,False,False,False,False
2,89,-1,-1,False,False,False,False,False,False,False
3,148,-1,-1,False,False,False,False,False,False,False
4,136,-1,-1,False,False,False,False,False,False,False
5,98,-1,-1,False,False,False,False,False,False,False
1-Medium,
    Mission length=4,
1,58,-1,-1,False,False,False,False,False,False,False
2,35,-1,-1,False,False,False,False,False,False,False
3,33,-1,-1,False,False,False,False,False,False,False
4,30,-1,-1,False,False,False,False,False,False,False
5,27,-1,-1,False,False,False,False,False,False,False
    Mission length=6,
1,39,-1,-1,False,False,False,False,False,False,False
2,55,-1,-1,False,False,False,False,False,False,False
3,63,-1,-1,False,False,False,False,False,False,False
4,56,-1,-1,False,False,False,False,False,False,False
5,55,-1,-1,False,False,False,False,False,False,False
    Mission length=8,
1,75,-1,-1,False,False,False,False,False,False,False
2,58,-1,-1,False,False,False,False,False,False,False
3,76,-1,-1,False,False,False,False,False,False,False
4,67,-1,-1,False,False,False,False,False,False,False
5,84,-1,-1,False,False,False,False,False,False,False
    Mission length=10,
1,99,-1,-1,False,False,False,False,False,False,False
2,71,-1,-1,False,False,False,False,False,False,False
3,82,-1,-1,False,False,False,False,False,False,False
4,88,-1,-1,False,False,False,False,False,False,False
5,72,-1,-1,False,False,False,False,False,False,False
    Mission length=12,
1,97,-1,-1,False,False,False,False,False,False,False
2,90,-1,-1,False,False,False,False,False,False,False
3,117,-1,-1,False,False,False,False,False,False,False
4,104,-1,-1,False,False,False,False,False,False,False
5,109,-1,-1,False,False,False,False,False,False,False
    Mission length=14,
1,145,-1,-1,False,False,False,False,False,False,False
2,108,-1,-1,False,False,False,False,False,False,False
3,143,-1,-1,False,False,False,False,False,False,False
4,144,-1,-1,False,False,False,False,False,False,False
5,113,-1,-1,False,False,False,False,False,False,False
2-Hard,
    Mission length=4,
1,50,-1,-1,False,False,False,False,False,False,False
2,33,-1,-1,False,False,False,False,False,False,False
3,42,-1,-1,False,False,False,False,False,False,False
4,34,-1,-1,False,False,False,False,False,False,False
5,48,-1,-1,False,False,False,False,False,False,False
    Mission length=6,
1,51,-1,-1,False,False,False,False,False,False,False
2,44,-1,-1,False,False,False,False,False,False,False
3,70,-1,-1,False,False,False,False,False,False,False
4,45,-1,-1,False,False,False,False,False,False,False
5,61,-1,-1,False,False,False,False,False,False,False
    Mission length=8,
1,103,-1,-1,False,False,False,False,False,False,False
2,50,-1,-1,False,False,False,False,False,False,False
3,86,-1,-1,False,False,False,False,False,False,False
4,80,-1,-1,False,False,False,False,False,False,False
5,82,-1,-1,False,False,False,False,False,False,False
    Mission length=10,
1,90,-1,-1,False,False,False,False,False,False,False
2,115,-1,-1,False,False,False,False,False,False,False
3,76,-1,-1,False,False,False,False,False,False,False
4,84,-1,-1,False,False,False,False,False,False,False
5,139,-1,-1,False,False,False,False,False,False,False
    Mission length=12,
1,99,-1,-1,False,False,False,False,False,False,False
2,128,-1,-1,False,False,False,False,False,False,False
3,93,-1,-1,False,False,False,False,False,False,False
4,110,-1,-1,False,False,False,False,False,False,False
5,169,-1,-1,False,False,False,False,False,False,False
    Mission length=14,
1,109,-1,-1,False,False,False,False,False,False,False
2,152,-1,-1,False,False,False,False,False,False,False
3,156,-1,-1,False,False,False,False,False,False,False
4,140,-1,-1,False,False,False,False,False,False,False
5,132,-1,-1,False,False,False,False,False,False,False
