//Quantitative values
52	//Makespan
42	//Mission completion time hauler 1
41	//Mission completion time hauler 2
53	//Mission completion time hauler 3
2	//Application execution time (in millisecond)
//Path to the final points
0,[6 ,7],[4 ,12],[9,6]
1,[6 ,8],[4 ,11],[9,5]
2,[6 ,9],[4 ,10],[8,5]
3,[6 ,10],[4 ,9],[8,4]
4,[7 ,10],[5 ,9],[7,4]
5,[8 ,10],[6 ,9],[6,4]
6,[7 ,10],[6 ,10],[5,4]
7,[6 ,10],[7 ,10],[5,5]
8,[6 ,9],[8 ,10],[5,6]
9,[6 ,8],[7 ,10],[5,7]
10,[6 ,7],[6 ,10],[5,8]
11,[7 ,7],[6 ,9],[5,9]
12,[7 ,6],[6 ,8],[5,10]
13,[7 ,5],[6 ,7],[6,10]
14,[7 ,4],[7 ,7],[7,10]
15,[8 ,4],[7 ,6],[8,10]
16,[7 ,4],[7 ,5],[7,10]
17,[7 ,5],[7 ,4],[6,10]
18,[7 ,6],[7 ,3],[6,9]
19,[7 ,7],[7 ,2],[6,8]
20,[6 ,7],[7 ,3],[6,7]
21,[6 ,8],[7 ,4],[7,7]
22,[6 ,9],[7 ,5],[7,6]
23,[6 ,8],[7 ,6],[7,5]
24,[6 ,7],[7 ,7],[7,4]
25,[7 ,7],[6 ,7],[7,3]
26,[7 ,6],[6 ,8],[7,2]
27,[7 ,5],[6 ,9],[7,3]
28,[7 ,4],[6 ,10],[7,4]
29,[8 ,4],[7 ,10],[7,5]
30,[7 ,4],[8 ,10],[7,6]
31,[6 ,4],[7 ,10],[7,7]
32,[5 ,4],[6 ,10],[6,7]
33,[5 ,5],[5 ,10],[6,8]
34,[5 ,6],[5 ,9],[6,9]
35,[5 ,7],[5 ,8],[6,8]
36,[5 ,8],[5 ,9],[6,7]
37,[5 ,9],[5 ,10],[7,7]
38,[5 ,10],[6 ,10],[7,6]
39,[6 ,10],[7 ,10],[7,5]
40,[7 ,10],[8 ,10],[7,4]
41,[8 ,10],[8 ,10],[7,3]
42,[8 ,10],[8 ,10],[7,2]
43,[8 ,10],[8 ,10],[7,3]
44,[8 ,10],[8 ,10],[6,3]
45,[8 ,10],[8 ,10],[5,3]
46,[8 ,10],[8 ,10],[5,4]
47,[8 ,10],[8 ,10],[5,5]
48,[8 ,10],[8 ,10],[5,6]
49,[8 ,10],[8 ,10],[5,7]
50,[8 ,10],[8 ,10],[5,8]
51,[8 ,10],[8 ,10],[5,8]
52,[8 ,10],[8 ,10],[5,8]
