//Quantitative values
59	//Makespan
53	//Mission completion time hauler 1
59	//Mission completion time hauler 2
2	//Application execution time (in millisecond)
//Path to the final points
0,[2 ,10],[8,9]
1,[2 ,9],[7,9]
2,[3 ,9],[6,9]
3,[4 ,9],[5,9]
4,[5 ,9],[4,9]
5,[6 ,9],[3,9]
6,[6 ,8],[3,8]
7,[6 ,7],[3,7]
8,[6 ,6],[3,6]
9,[6 ,5],[3,5]
10,[6 ,4],[3,4]
11,[7 ,4],[4,4]
12,[6 ,4],[5,4]
13,[6 ,5],[6,4]
14,[6 ,6],[7,4]
15,[6 ,7],[6,4]
16,[6 ,8],[6,5]
17,[6 ,9],[6,6]
18,[6 ,8],[6,7]
19,[6 ,7],[6,8]
20,[6 ,6],[6,9]
21,[6 ,5],[6,10]
22,[6 ,4],[6,9]
23,[6 ,3],[6,8]
24,[6 ,2],[6,7]
25,[7 ,2],[6,6]
26,[6 ,2],[6,5]
27,[6 ,3],[6,4]
28,[6 ,4],[6,3]
29,[6 ,5],[6,2]
30,[6 ,6],[7,2]
31,[6 ,7],[6,2]
32,[6 ,8],[5,2]
33,[6 ,9],[4,2]
34,[6 ,8],[3,2]
35,[6 ,7],[3,3]
36,[6 ,6],[3,4]
37,[6 ,5],[4,4]
38,[6 ,4],[5,4]
39,[6 ,3],[6,4]
40,[6 ,2],[7,4]
41,[7 ,2],[8,4]
42,[6 ,2],[8,3]
43,[5 ,2],[9,3]
44,[4 ,2],[9,4]
45,[3 ,2],[9,5]
46,[3 ,3],[9,6]
47,[3 ,4],[9,7]
48,[3 ,3],[9,8]
49,[3 ,2],[9,9]
50,[4 ,2],[9,8]
51,[5 ,2],[9,7]
52,[6 ,2],[9,6]
53,[7 ,2],[8,6]
54,[7 ,2],[8,5]
55,[7 ,2],[8,4]
56,[7 ,2],[8,3]
57,[7 ,2],[8,2]
58,[7 ,2],[7,2]
59,[7 ,2],[7,2]
