comment,baseline makespan,your solution makespan,your solution exec. time,initial test,move test,makespan test,obstacle test,hauler test,charging test,mission test
Part1,
0-Easy,
3,85,67,1,True,True,True,True,True,False,True
4,104,94,1,True,True,True,True,True,False,True
5,143,139,1,True,True,True,True,True,False,True
    Mission length=16,
1,185,165,1,True,True,True,True,True,False,True
2,154,146,1,True,True,True,True,True,False,True
3,113,93,1,True,True,True,True,True,False,True
4,146,130,1,True,True,True,True,True,False,True
5,154,150,2,True,True,True,True,True,False,True
    Mission length=18,
1,163,141,1,True,True,True,True,True,False,True
2,130,124,1,True,True,True,True,True,False,True
3,112,98,1,True,True,True,True,True,False,True
4,220,196,1,True,True,True,True,True,False,True
5,173,165,4,True,True,True,True,True,False,True
1-Medium,
    Mission length=8,
1,68,58,1,True,True,True,True,True,False,True
2,68,54,1,True,True,True,True,True,False,True
3,66,62,1,True,True,True,True,True,False,True
4,72,68,1,True,True,True,True,True,False,True
5,49,49,1,True,True,True,True,True,True,True
    Mission length=10,
1,75,65,1,True,True,True,True,True,False,True
2,41,41,1,True,True,True,True,True,True,True
3,120,108,1,True,True,True,True,True,False,True
4,90,86,1,True,True,True,True,True,False,True
5,82,76,1,True,True,True,True,True,False,True
    Mission length=12,
1,107,99,1,True,True,True,True,True,False,True
2,84,70,1,True,True,True,True,True,False,True
3,116,108,1,True,True,True,True,True,False,True
4,85,81,1,True,True,True,True,True,False,True
5,71,65,1,True,True,True,True,True,False,True
    Mission length=14,
1,133,117,1,True,True,True,True,True,False,True
2,97,83,1,True,True,True,True,True,False,True
3,108,98,1,True,True,True,True,True,False,True
4,85,81,1,True,True,True,True,True,False,True
5,74,68,1,True,True,True,True,True,False,True
    Mission length=16,
1,127,111,1,True,True,True,True,True,False,True
2,119,105,2,True,True,True,True,True,False,True
3,150,134,1,True,True,True,True,True,False,True
4,126,118,2,True,True,True,True,True,False,True
5,92,86,1,True,True,True,True,True,False,True
    Mission length=18,
1,157,139,2,True,True,True,True,True,False,True
2,115,101,1,True,True,True,True,True,False,True
3,172,156,2,True,True,True,True,True,False,True
4,164,156,1,True,True,True,True,True,False,True
5,107,101,1,True,True,True,True,True,False,True
2-Hard,
    Mission length=8,
1,131,93,0,True,True,True,True,True,False,True
2,77,67,1,True,True,True,True,True,False,True
3,116,98,0,True,True,True,True,True,False,True
4,98,86,1,True,True,True,True,True,False,True
5,57,57,1,True,True,True,True,True,True,True
    Mission length=10,
1,109,87,2,True,True,True,True,True,False,True
2,116,108,1,True,True,True,True,True,False,True
3,167,143,1,True,True,True,True,True,False,True
4,92,76,1,True,True,True,True,True,False,True
5,88,78,0,True,True,True,True,True,False,True
    Mission length=12,
1,129,91,1,True,True,True,True,True,False,True
2,184,160,1,True,True,True,True,True,False,True
3,207,165,1,True,True,True,True,True,False,True
4,122,106,1,True,True,True,True,True,False,True
5,81,71,1,True,True,True,True,True,False,True
    Mission length=14,
1,167,123,1,True,True,True,True,True,False,True
2,224,202,1,True,True,True,True,True,False,True
3,255,207,1,True,True,True,True,True,False,True
4,126,114,1,True,True,True,True,True,False,True
5,119,109,1,True,True,True,True,True,False,True
    Mission length=16,
1,211,159,1,True,True,True,True,True,False,True
2,268,242,1,True,True,True,True,True,False,True
3,262,208,1,True,True,True,True,True,False,True
4,158,138,1,True,True,True,True,True,False,True
5,156,136,1,True,True,True,True,True,False,True
    Mission length=18,
1,185,155,1,True,True,True,True,True,False,True
2,259,223,1,True,True,True,True,True,False,True
3,294,240,1,True,True,True,True,True,False,True
4,174,142,1,True,True,True,True,True,False,True
5,141,121,1,True,True,True,True,True,False,True
