//Quantitative values
33	//Makespan
34	//Mission completion time hauler 1
30	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[1 ,2],[3,4]
1,[1 ,3],[3,5]
2,[1 ,4],[4,5]
3,[1 ,5],[5,5]
4,[1 ,6],[6,5]
5,[2 ,6],[6,4]
6,[2 ,7],[7,4]
7,[2 ,8],[7,3]
8,[3 ,8],[7,2]
9,[3 ,7],[8,2]
10,[3 ,8],[7,2]
11,[3 ,9],[6,2]
12,[3 ,10],[5,2]
13,[3 ,11],[4,2]
14,[3 ,12],[3,2]
15,[4 ,12],[3,3]
16,[5 ,12],[3,4]
17,[6 ,12],[3,5]
18,[7 ,12],[3,6]
19,[8 ,12],[3,7]
20,[9 ,12],[3,6]
21,[10 ,12],[3,5]
22,[9 ,12],[3,4]
23,[8 ,12],[3,3]
24,[7 ,12],[3,2]
25,[6 ,12],[4,2]
26,[5 ,12],[5,2]
27,[4 ,12],[6,2]
28,[3 ,12],[7,2]
29,[3 ,11],[8,2]
30,[3 ,10],[8,2]
31,[3 ,9],[8,2]
32,[3 ,8],[8,2]
33,[3 ,7],[8,2]
