//Quantitative values
28	//Makespan
28	//Mission completion time hauler 1
29	//Mission completion time hauler 2
1	//Application execution time (in millisecond)
//Path to the final points
0,[6 ,11],[10,10]
1,[6 ,10],[9,10]
2,[7 ,10],[8,10]
3,[7 ,9],[7,10]
4,[7 ,8],[7,9]
5,[8 ,8],[7,8]
6,[8 ,7],[6,8]
7,[8 ,6],[6,7]
8,[8 ,5],[6,8]
9,[8 ,4],[7,8]
10,[8 ,3],[8,8]
11,[9 ,3],[9,8]
12,[9 ,4],[10,8]
13,[9 ,5],[11,8]
14,[9 ,6],[10,8]
15,[9 ,7],[9,8]
16,[9 ,8],[9,7]
17,[10 ,8],[9,6]
18,[11 ,8],[9,5]
19,[10 ,8],[9,4]
20,[9 ,8],[9,3]
21,[8 ,8],[9,4]
22,[7 ,8],[9,5]
23,[6 ,8],[9,6]
24,[6 ,7],[9,7]
25,[6 ,6],[9,8]
26,[7 ,6],[10,8]
27,[7 ,5],[11,8]
28,[7 ,5],[11,8]
